啼,3
周,3
吼,3
厌,3
卷,3
却,3
剉,3
冥,3
兴,3
免,3
兄,3
余,3
仰,3
了,3
丑,3
麻,2
鳖,2
魍,2
魉,2
魅,2
驴,2
驱,2
驰,2
马,2
顷,2
青,2
雷,2
镬,2
锯,2
销,2
银,2
钦,2
邃,2
遭,2
还,2
近,2
迅,2
辨,2
辛,2
辄,2
走,2
赤,2
贼,2
谷,2
请,2
诚,2
许,2
要,2
藐,2
苇,2
节,2
良,2
般,2
臾,2
致,2
臣,2
臂,2
胶,2
肢,2
聪,2
耨,2
耗,2
老,2
翻,2
绿,2
纯,2
红,2
紫,2
粪,2
稽,2
稻,2
私,2
祭,2
碧,2
碍,2
短,2
盖,2
癃,2
痴,2
电,2
甚,2
璎,2
瑞,2
玩,2
玉,2
献,2
狂,2
犯,2
燃,2
熟,2
煮,2
烊,2
灯,2
灌,2
溢,2
渴,2
涕,2
涌,2
测,2
浊,2
油,2
污,2
气,2
毗,2
比,2
殿,2
残,2
步,2
歌,2
欢,2
檀,2
校,2
柱,2
枪,2
术,2
暗,2
昼,2
昧,2
旬,2
断,2
斫,2
斩,2
斗,2
敢,2
指,2
持,2
拜,2
抱,2
扶,2
执,2
才,2
戒,2
慕,2
愈,2
惊,2
悬,2
悦,2
悟,2
息,2
怜,2
怖,2
怀,2
忍,2
往,2
彻,2
弹,2
弘,2
庙,2
庆,2
幼,2
幢,2
川,2
屋,2
尿,2
寒,2
密,2
容,2
完,2
孝,2
姊,2
奋,2
夷,2
备,2
墙,2
坚,2
困,2
园,2
嗔,2
喑,2
哑,2
咽,2
咄,2
含,2
吒,2
叫,2
变,2
卒,2
匝,2
勒,2
办,2
剑,2
刹,2
刃,2
凶,2
全,2
侍,2
优,2
休,2
书,2
也,2
乖,2
丸,2
丧,2
严,2
两,2
丘,2
龛,1
齿,1
黑,1
鸽,1
鸳,1
鸯,1
鲜,1
魔,1
魇,1
骡,1
骂,1
驾,1
风,1
颈,1
领,1
顺,1
鞭,1
革,1
露,1
雨,1
雏,1
雀,1
陈,1
际,1
附,1
陀,1
阙,1
镂,1
锁,1
钱,1
钝,1
钑,1
钉,1
鑗,1
醯,1
郑,1
邑,1
遮,1
逸,1
逝,1
途,1
递,1
逆,1
进,1
迎,1
迄,1
达,1
辞,1
辗,1
较,1
软,1
车,1
躬,1
踊,1
践,1
跃,1
趁,1
贡,1
貌,1
象,1
诳,1
诱,1
诬,1
讯,1
讫,1
角,1
裟,1
装,1
袈,1
蝮,1
蝎,1
蚖,1
蔓,1
蓝,1
菜,1
荷,1
药,1
苗,1
苏,1
舒,1
腹,1
腥,1
胸,1
胎,1
肯,1
肠,1
耀,1
羼,1
群,1
羌,1
置,1
缺,1
缴,1
缯,1
缠,1
绵,1
绳,1
继,1
绞,1
络,1
给,1
粮,1
类,1
箭,1
管,1
究,1
稼,1
积,1
禅,1
禁,1
祸,1
祥,1
磨,1
碓,1
碎,1
眠,1
省,1
盲,1
盛,1
盘,1
盏,1
皮,1
瘵,1
疲,1
疮,1
疫,1
留,1
畋,1
甲,1
珠,1
珞,1
玷,1
率,1
猎,1
狮,1
狄,1
状,1
犬,1
犁,1
爪,1
照,1
焰,1
烦,1
炒,1
灵,1
漏,1
涂,1
浪,1
浇,1
浅,1
洁,1
泽,1
泥,1
泔,1
泉,1
治,1
没,1
池,1
江,1
汁,1
民,1
氏,1
歧,1
欺,1
棒,1
梁,1
树,1
某,1
枕,1
杜,1
替,1
晚,1
晃,1
昔,1
易,1
旧,1
族,1
斤,1
敕,1
敌,1
攫,1
攒,1
撞,1
摄,1
携,1
搏,1
捕,1
挞,1
拽,1
招,1
拘,1
拖,1
担,1
抽,1
抛,1
扑,1
房,1
戟,1
慰,1
慢,1
惨,1
惧,1
惟,1
惛,1
悭,1
悖,1
悔,1
恼,1
恳,1
恩,1
恚,1
恐,1
总,1
急,1
快,1
忤,1
忏,1
御,1
律,1
弦,1
弃,1
庭,1
废,1
并,1
平,1
希,1
己,1
巨,1
左,1
岸,1
尪,1
宽,1
室,1
审,1
宜,1
官,1
学,1
孙,1
姐,1
妻,1
妇,1
妃,1
奴,1
夹,1
外,1
壤,1
境,1
塞,1
垂,1
嗣,1
唱,1
唤,1
哽,1
哺,1
咏,1
味,1
呋,1
启,1
否,1
吞,1
吝,1
吐,1
吉,1
司,1
叶,1
右,1
只,1
友,1
原,1
厚,1
厄,1
卵,1
卖,1
卑,1
医,1
北,1
势,1
劳,1
剥,1
刻,1
刺,1
制,1
刀,1
凿,1
几,1
减,1
凄,1
冰,1
兼,1
公,1
兜,1
充,1
傥,1
偿,1
偷,1
健,1
停,1
倦,1
倒,1
保,1
俗,1
侵,1
体,1
位,1
伽,1
伪,1
伤,1
伎,1
代,1
井,1
争,1
乳,1
乱,1
丛,1
且,1
丈,1
